Day,WY,month,discharge_cfps,month_day,year,date,wy_date,E_day,r_day,discharge_cmps,station
11,1998,MAY,3.6,MAY-11,1998,1998-05-11,1998-05-11,NA,NA,0.10194064773119997,Lukachai Creek
11,1998,JUN,0.07,JUN-11,1998,1998-06-11,1998-06-11,NA,NA,0.0019821792614399996,Lukachai Creek
11,1998,JUL,0.1,JUL-11,1998,1998-07-11,1998-07-11,NA,NA,0.0028316846592,Lukachai Creek
11,1998,AUG,0.25,AUG-11,1998,1998-08-11,1998-08-11,E,NA,0.0070792116479999985,Lukachai Creek
11,1998,SEP,0,SEP-11,1998,1998-09-11,1998-09-11,NA,NA,0,Lukachai Creek
12,1998,OCT,0,OCT-12,1997,1997-10-12,1998-10-12,NA,NA,0,Lukachai Creek
12,1998,NOV,0.01,NOV-12,1997,1997-11-12,1998-11-12,NA,NA,2.8316846591999994e-4,Lukachai Creek
12,1998,DEC,0.05,DEC-12,1997,1997-12-12,1998-12-12,E,NA,0.0014158423296,Lukachai Creek
12,1998,JAN,0.01,JAN-12,1998,1998-01-12,1998-01-12,NA,NA,2.8316846591999994e-4,Lukachai Creek
12,1998,FEB,0.01,FEB-12,1998,1998-02-12,1998-02-12,NA,NA,2.8316846591999994e-4,Lukachai Creek
12,1998,MAR,0,MAR-12,1998,1998-03-12,1998-03-12,NA,NA,0,Lukachai Creek
12,1998,APR,0.84,APR-12,1998,1998-04-12,1998-04-12,NA,NA,0.023786151137279995,Lukachai Creek
12,1998,MAY,5,MAY-12,1998,1998-05-12,1998-05-12,E,NA,0.14158423295999994,Lukachai Creek
12,1998,JUN,0.07,JUN-12,1998,1998-06-12,1998-06-12,NA,NA,0.0019821792614399996,Lukachai Creek
12,1998,JUL,0.1,JUL-12,1998,1998-07-12,1998-07-12,NA,NA,0.0028316846592,Lukachai Creek
12,1998,AUG,0,AUG-12,1998,1998-08-12,1998-08-12,NA,NA,0,Lukachai Creek
12,1998,SEP,0,SEP-12,1998,1998-09-12,1998-09-12,NA,NA,0,Lukachai Creek
13,1998,OCT,0,OCT-13,1997,1997-10-13,1998-10-13,NA,NA,0,Lukachai Creek
13,1998,NOV,0,NOV-13,1997,1997-11-13,1998-11-13,NA,NA,0,Lukachai Creek
13,1998,DEC,0.05,DEC-13,1997,1997-12-13,1998-12-13,E,NA,0.0014158423296,Lukachai Creek
13,1998,JAN,0.07,JAN-13,1998,1998-01-13,1998-01-13,E,NA,0.0019821792614399996,Lukachai Creek
13,1998,FEB,0.01,FEB-13,1998,1998-02-13,1998-02-13,NA,NA,2.8316846591999994e-4,Lukachai Creek
13,1998,MAR,0,MAR-13,1998,1998-03-13,1998-03-13,NA,NA,0,Lukachai Creek
13,1998,APR,0.21,APR-13,1998,1998-04-13,1998-04-13,NA,NA,0.005946537784319999,Lukachai Creek
13,1998,MAY,4,MAY-13,1998,1998-05-13,1998-05-13,E,NA,0.11326738636799998,Lukachai Creek
13,1998,JUN,0.07,JUN-13,1998,1998-06-13,1998-06-13,NA,NA,0.0019821792614399996,Lukachai Creek
13,1998,JUL,0.1,JUL-13,1998,1998-07-13,1998-07-13,NA,NA,0.0028316846592,Lukachai Creek
13,1998,AUG,0,AUG-13,1998,1998-08-13,1998-08-13,NA,NA,0,Lukachai Creek
13,1998,SEP,0,SEP-13,1998,1998-09-13,1998-09-13,NA,NA,0,Lukachai Creek
14,1998,OCT,0,OCT-14,1997,1997-10-14,1998-10-14,NA,NA,0,Lukachai Creek
14,1998,NOV,0,NOV-14,1997,1997-11-14,1998-11-14,NA,NA,0,Lukachai Creek
14,1998,DEC,0.05,DEC-14,1997,1997-12-14,1998-12-14,E,NA,0.0014158423296,Lukachai Creek
14,1998,JAN,0.07,JAN-14,1998,1998-01-14,1998-01-14,E,NA,0.0019821792614399996,Lukachai Creek
14,1998,FEB,0,FEB-14,1998,1998-02-14,1998-02-14,NA,NA,0,Lukachai Creek
14,1998,MAR,0,MAR-14,1998,1998-03-14,1998-03-14,NA,NA,0,Lukachai Creek
14,1998,APR,0.12,APR-14,1998,1998-04-14,1998-04-14,NA,NA,0.0033980215910399993,Lukachai Creek
14,1998,MAY,4,MAY-14,1998,1998-05-14,1998-05-14,E,NA,0.11326738636799998,Lukachai Creek
14,1998,JUN,0.07,JUN-14,1998,1998-06-14,1998-06-14,NA,NA,0.0019821792614399996,Lukachai Creek
14,1998,JUL,0.12,JUL-14,1998,1998-07-14,1998-07-14,NA,NA,0.0033980215910399993,Lukachai Creek
14,1998,AUG,0,AUG-14,1998,1998-08-14,1998-08-14,NA,NA,0,Lukachai Creek
14,1998,SEP,0,SEP-14,1998,1998-09-14,1998-09-14,NA,NA,0,Lukachai Creek
15,1998,OCT,0,OCT-15,1997,1997-10-15,1998-10-15,NA,NA,0,Lukachai Creek
15,1998,NOV,0,NOV-15,1997,1997-11-15,1998-11-15,NA,NA,0,Lukachai Creek
15,1998,DEC,0.05,DEC-15,1997,1997-12-15,1998-12-15,E,NA,0.0014158423296,Lukachai Creek
15,1998,JAN,0.07,JAN-15,1998,1998-01-15,1998-01-15,E,NA,0.0019821792614399996,Lukachai Creek
15,1998,FEB,0.05,FEB-15,1998,1998-02-15,1998-02-15,NA,NA,0.0014158423296,Lukachai Creek
15,1998,MAR,0,MAR-15,1998,1998-03-15,1998-03-15,NA,NA,0,Lukachai Creek
15,1998,APR,0.15,APR-15,1998,1998-04-15,1998-04-15,NA,NA,0.004247526988799999,Lukachai Creek
15,1998,MAY,4,MAY-15,1998,1998-05-15,1998-05-15,E,NA,0.11326738636799998,Lukachai Creek
15,1998,JUN,0.07,JUN-15,1998,1998-06-15,1998-06-15,NA,NA,0.0019821792614399996,Lukachai Creek
15,1998,JUL,0.1,JUL-15,1998,1998-07-15,1998-07-15,NA,NA,0.0028316846592,Lukachai Creek
15,1998,AUG,0,AUG-15,1998,1998-08-15,1998-08-15,NA,NA,0,Lukachai Creek
15,1998,SEP,0,SEP-15,1998,1998-09-15,1998-09-15,NA,NA,0,Lukachai Creek
16,1998,OCT,0,OCT-16,1997,1997-10-16,1998-10-16,NA,NA,0,Lukachai Creek
16,1998,NOV,0,NOV-16,1997,1997-11-16,1998-11-16,NA,NA,0,Lukachai Creek
16,1998,DEC,0.05,DEC-16,1997,1997-12-16,1998-12-16,E,NA,0.0014158423296,Lukachai Creek
16,1998,JAN,0,JAN-16,1998,1998-01-16,1998-01-16,NA,NA,0,Lukachai Creek
16,1998,FEB,0.03,FEB-16,1998,1998-02-16,1998-02-16,NA,NA,8.495053977599998e-4,Lukachai Creek
16,1998,MAR,0,MAR-16,1998,1998-03-16,1998-03-16,NA,NA,0,Lukachai Creek
16,1998,APR,0.45,APR-16,1998,1998-04-16,1998-04-16,NA,NA,0.012742580966399996,Lukachai Creek
16,1998,MAY,3,MAY-16,1998,1998-05-16,1998-05-16,E,NA,0.08495053977599998,Lukachai Creek
16,1998,JUN,0.09,JUN-16,1998,1998-06-16,1998-06-16,NA,NA,0.0025485161932799994,Lukachai Creek
16,1998,JUL,0.05,JUL-16,1998,1998-07-16,1998-07-16,NA,NA,0.0014158423296,Lukachai Creek
16,1998,AUG,0,AUG-16,1998,1998-08-16,1998-08-16,NA,NA,0,Lukachai Creek
16,1998,SEP,0,SEP-16,1998,1998-09-16,1998-09-16,NA,NA,0,Lukachai Creek
17,1998,OCT,0,OCT-17,1997,1997-10-17,1998-10-17,NA,NA,0,Lukachai Creek
17,1998,NOV,0,NOV-17,1997,1997-11-17,1998-11-17,NA,NA,0,Lukachai Creek
17,1998,DEC,0.05,DEC-17,1997,1997-12-17,1998-12-17,E,NA,0.0014158423296,Lukachai Creek
17,1998,JAN,0.01,JAN-17,1998,1998-01-17,1998-01-17,NA,NA,2.8316846591999994e-4,Lukachai Creek
17,1998,FEB,0.02,FEB-17,1998,1998-02-17,1998-02-17,NA,NA,5.663369318399999e-4,Lukachai Creek
17,1998,MAR,0,MAR-17,1998,1998-03-17,1998-03-17,NA,NA,0,Lukachai Creek
17,1998,APR,0.12,APR-17,1998,1998-04-17,1998-04-17,NA,NA,0.0033980215910399993,Lukachai Creek
17,1998,MAY,2,MAY-17,1998,1998-05-17,1998-05-17,E,NA,0.05663369318399999,Lukachai Creek
17,1998,JUN,0.1,JUN-17,1998,1998-06-17,1998-06-17,NA,NA,0.0028316846592,Lukachai Creek
17,1998,JUL,0.03,JUL-17,1998,1998-07-17,1998-07-17,NA,NA,8.495053977599998e-4,Lukachai Creek
17,1998,AUG,0,AUG-17,1998,1998-08-17,1998-08-17,NA,NA,0,Lukachai Creek
17,1998,SEP,0,SEP-17,1998,1998-09-17,1998-09-17,NA,NA,0,Lukachai Creek
18,1998,OCT,0,OCT-18,1997,1997-10-18,1998-10-18,NA,NA,0,Lukachai Creek
18,1998,NOV,0,NOV-18,1997,1997-11-18,1998-11-18,NA,NA,0,Lukachai Creek
18,1998,DEC,0.06,DEC-18,1997,1997-12-18,1998-12-18,E,NA,0.0016990107955199996,Lukachai Creek
18,1998,JAN,0.01,JAN-18,1998,1998-01-18,1998-01-18,NA,NA,2.8316846591999994e-4,Lukachai Creek
18,1998,FEB,0.04,FEB-18,1998,1998-02-18,1998-02-18,NA,NA,0.0011326738636799998,Lukachai Creek
18,1998,MAR,0,MAR-18,1998,1998-03-18,1998-03-18,NA,NA,0,Lukachai Creek
18,1998,APR,0.09,APR-18,1998,1998-04-18,1998-04-18,NA,NA,0.0025485161932799994,Lukachai Creek
18,1998,MAY,1,MAY-18,1998,1998-05-18,1998-05-18,E,NA,0.028316846591999994,Lukachai Creek
18,1998,JUN,0.08,JUN-18,1998,1998-06-18,1998-06-18,NA,NA,0.0022653477273599995,Lukachai Creek
18,1998,JUL,0.05,JUL-18,1998,1998-07-18,1998-07-18,NA,NA,0.0014158423296,Lukachai Creek
18,1998,AUG,0,AUG-18,1998,1998-08-18,1998-08-18,NA,NA,0,Lukachai Creek
18,1998,SEP,0,SEP-18,1998,1998-09-18,1998-09-18,NA,NA,0,Lukachai Creek
19,1998,OCT,0,OCT-19,1997,1997-10-19,1998-10-19,NA,NA,0,Lukachai Creek
19,1998,NOV,0,NOV-19,1997,1997-11-19,1998-11-19,NA,NA,0,Lukachai Creek
19,1998,DEC,0.06,DEC-19,1997,1997-12-19,1998-12-19,E,NA,0.0016990107955199996,Lukachai Creek
19,1998,JAN,0.02,JAN-19,1998,1998-01-19,1998-01-19,NA,NA,5.663369318399999e-4,Lukachai Creek
19,1998,FEB,0.03,FEB-19,1998,1998-02-19,1998-02-19,NA,NA,8.495053977599998e-4,Lukachai Creek
19,1998,MAR,0,MAR-19,1998,1998-03-19,1998-03-19,NA,NA,0,Lukachai Creek
19,1998,APR,0.01,APR-19,1998,1998-04-19,1998-04-19,NA,NA,2.8316846591999994e-4,Lukachai Creek
19,1998,MAY,1,MAY-19,1998,1998-05-19,1998-05-19,E,NA,0.028316846591999994,Lukachai Creek
19,1998,JUN,0.09,JUN-19,1998,1998-06-19,1998-06-19,NA,NA,0.0025485161932799994,Lukachai Creek
19,1998,JUL,0,JUL-19,1998,1998-07-19,1998-07-19,NA,NA,0,Lukachai Creek
19,1998,AUG,0,AUG-19,1998,1998-08-19,1998-08-19,NA,NA,0,Lukachai Creek
19,1998,SEP,0,SEP-19,1998,1998-09-19,1998-09-19,NA,NA,0,Lukachai Creek
20,1998,OCT,0,OCT-20,1997,1997-10-20,1998-10-20,NA,NA,0,Lukachai Creek
20,1998,NOV,0,NOV-20,1997,1997-11-20,1998-11-20,NA,NA,0,Lukachai Creek
20,1998,DEC,0.06,DEC-20,1997,1997-12-20,1998-12-20,E,NA,0.0016990107955199996,Lukachai Creek
20,1998,JAN,0,JAN-20,1998,1998-01-20,1998-01-20,NA,NA,0,Lukachai Creek
20,1998,FEB,0.01,FEB-20,1998,1998-02-20,1998-02-20,NA,NA,2.8316846591999994e-4,Lukachai Creek
20,1998,MAR,0,MAR-20,1998,1998-03-20,1998-03-20,NA,NA,0,Lukachai Creek
20,1998,APR,0,APR-20,1998,1998-04-20,1998-04-20,NA,NA,0,Lukachai Creek
20,1998,MAY,1,MAY-20,1998,1998-05-20,1998-05-20,E,NA,0.028316846591999994,Lukachai Creek
20,1998,JUN,0.1,JUN-20,1998,1998-06-20,1998-06-20,NA,NA,0.0028316846592,Lukachai Creek
20,1998,JUL,0.01,JUL-20,1998,1998-07-20,1998-07-20,NA,NA,2.8316846591999994e-4,Lukachai Creek
20,1998,AUG,0.03,AUG-20,1998,1998-08-20,1998-08-20,NA,NA,8.495053977599998e-4,Lukachai Creek
20,1998,SEP,0,SEP-20,1998,1998-09-20,1998-09-20,NA,NA,0,Lukachai Creek
21,1998,OCT,0,OCT-21,1997,1997-10-21,1998-10-21,NA,NA,0,Lukachai Creek
21,1998,NOV,0,NOV-21,1997,1997-11-21,1998-11-21,NA,NA,0,Lukachai Creek
21,1998,DEC,0.06,DEC-21,1997,1997-12-21,1998-12-21,E,NA,0.0016990107955199996,Lukachai Creek
21,1998,JAN,0.07,JAN-21,1998,1998-01-21,1998-01-21,E,NA,0.0019821792614399996,Lukachai Creek
21,1998,FEB,0.01,FEB-21,1998,1998-02-21,1998-02-21,NA,NA,2.8316846591999994e-4,Lukachai Creek
21,1998,MAR,0,MAR-21,1998,1998-03-21,1998-03-21,NA,NA,0,Lukachai Creek
21,1998,APR,0.01,APR-21,1998,1998-04-21,1998-04-21,NA,NA,2.8316846591999994e-4,Lukachai Creek
