Day,WY,month,discharge_cfps,wy_date,E_day,r_day,dishcarge_cmps
25,2016,OCT,1.6,2016-10-25,NA,NA,0.0453069545472
25,2016,NOV,1.8,2016-11-25,NA,NA,0.050970323865599985
25,2016,DEC,1.3,2016-12-25,NA,NA,0.036811900569599994
25,2016,JAN,1.6,2016-01-25,NA,NA,0.0453069545472
25,2016,FEB,8.8,2016-02-25,NA,NA,0.24918825000959996
25,2016,MAR,5.1,2016-03-25,NA,NA,0.14441591761919995
25,2016,APR,2.4,2016-04-25,NA,NA,0.06796043182079999
25,2016,MAY,4,2016-05-25,NA,NA,0.11326738636799998
25,2016,JUN,1.4,2016-06-25,NA,NA,0.03964358522879999
25,2016,JUL,1.7,2016-07-25,NA,NA,0.048138639206399984
25,2016,AUG,3.3,2016-08-25,NA,NA,0.09344559375359997
25,2016,SEP,0.69,2016-09-25,NA,NA,0.019538624148479993
26,2016,OCT,1.6,2016-10-26,NA,NA,0.0453069545472
26,2016,NOV,1.8,2016-11-26,NA,NA,0.050970323865599985
26,2016,DEC,1.2,2016-12-26,NA,NA,0.03398021591039999
26,2016,JAN,2.2,2016-01-26,NA,NA,0.06229706250239999
26,2016,FEB,8.7,2016-02-26,NA,NA,0.2463565653503999
26,2016,MAR,4.3,2016-03-26,NA,NA,0.12176244034559998
26,2016,APR,1.9,2016-04-26,NA,NA,0.05380200852479998
26,2016,MAY,7.4,2016-05-26,NA,NA,0.20954466478079997
26,2016,JUN,1.2,2016-06-26,NA,NA,0.03398021591039999
26,2016,JUL,1.3,2016-07-26,NA,NA,0.036811900569599994
26,2016,AUG,2.7,2016-08-26,NA,NA,0.07645548579839999
26,2016,SEP,1.3,2016-09-26,NA,NA,0.036811900569599994
27,2016,OCT,1.5,2016-10-27,NA,NA,0.04247526988799999
27,2016,NOV,1.6,2016-11-27,NA,NA,0.0453069545472
27,2016,DEC,1.3,2016-12-27,NA,NA,0.036811900569599994
27,2016,JAN,1.9,2016-01-27,NA,NA,0.05380200852479998
27,2016,FEB,9.9,2016-02-27,NA,NA,0.2803367812607999
27,2016,MAR,4.7,2016-03-27,NA,NA,0.13308917898239997
27,2016,APR,1.7,2016-04-27,NA,NA,0.048138639206399984
27,2016,MAY,9.6,2016-05-27,NA,NA,0.27184172728319994
27,2016,JUN,1.3,2016-06-27,NA,NA,0.036811900569599994
27,2016,JUL,1.2,2016-07-27,NA,NA,0.03398021591039999
27,2016,AUG,2.7,2016-08-27,NA,NA,0.07645548579839999
27,2016,SEP,1.7,2016-09-27,NA,NA,0.048138639206399984
28,2016,OCT,1.4,2016-10-28,NA,NA,0.03964358522879999
28,2016,NOV,2.6,2016-11-28,NA,NA,0.07362380113919999
28,2016,DEC,1.3,2016-12-28,NA,NA,0.036811900569599994
28,2016,JAN,1.7,2016-01-28,NA,NA,0.048138639206399984
28,2016,FEB,11,2016-02-28,NA,NA,0.3114853125119999
28,2016,MAR,4.1,2016-03-28,NA,NA,0.11609907102719996
28,2016,APR,1.7,2016-04-28,NA,NA,0.048138639206399984
28,2016,MAY,11,2016-05-28,NA,NA,0.3114853125119999
28,2016,JUN,1.1,2016-06-28,NA,NA,0.031148531251199995
28,2016,JUL,1.1,2016-07-28,NA,NA,0.031148531251199995
28,2016,AUG,2.7,2016-08-28,NA,NA,0.07645548579839999
28,2016,SEP,1.9,2016-09-28,NA,NA,0.05380200852479998
29,2016,OCT,1.5,2016-10-29,NA,NA,0.04247526988799999
29,2016,NOV,2.9,2016-11-29,NA,NA,0.08211885511679998
29,2016,DEC,1.3,2016-12-29,NA,NA,0.036811900569599994
29,2016,JAN,1.7,2016-01-29,NA,NA,0.048138639206399984
29,2016,FEB,11,2016-02-29,NA,NA,0.3114853125119999
29,2016,MAR,4,2016-03-29,NA,NA,0.11326738636799998
29,2016,APR,1.6,2016-04-29,NA,NA,0.0453069545472
29,2016,MAY,17,2016-05-29,NA,NA,0.4813863920639999
29,2016,JUN,0.99,2016-06-29,NA,NA,0.028033678126079993
29,2016,JUL,1,2016-07-29,NA,NA,0.028316846591999994
29,2016,AUG,1.9,2016-08-29,NA,NA,0.05380200852479998
29,2016,SEP,3,2016-09-29,NA,NA,0.08495053977599998
30,2016,OCT,1.6,2016-10-30,NA,NA,0.0453069545472
30,2016,NOV,4.1,2016-11-30,NA,NA,0.11609907102719996
30,2016,DEC,1.3,2016-12-30,NA,NA,0.036811900569599994
30,2016,JAN,1.7,2016-01-30,NA,NA,0.048138639206399984
30,2016,FEB,NA,NA,NA,NA,NA
30,2016,MAR,5.2,2016-03-30,NA,NA,0.14724760227839997
30,2016,APR,1.6,2016-04-30,NA,NA,0.0453069545472
30,2016,MAY,23,2016-05-30,NA,NA,0.6512874716159999
30,2016,JUN,1.9,2016-06-30,NA,NA,0.05380200852479998
30,2016,JUL,1.3,2016-07-30,NA,NA,0.036811900569599994
30,2016,AUG,2.9,2016-08-30,NA,NA,0.08211885511679998
30,2016,SEP,3.8,2016-09-30,NA,NA,0.10760401704959996
31,2016,OCT,1.4,2016-10-31,NA,NA,0.03964358522879999
31,2016,NOV,NA,NA,NA,NA,NA
31,2016,DEC,1.2,2016-12-31,NA,NA,0.03398021591039999
31,2016,JAN,1.9,2016-01-31,NA,NA,0.05380200852479998
31,2016,FEB,NA,NA,NA,NA,NA
31,2016,MAR,NA,2016-03-31,NA,NA,NA
31,2016,APR,NA,NA,NA,NA,NA
31,2016,MAY,18,2016-05-31,NA,NA,0.5097032386559999
31,2016,JUN,NA,NA,NA,NA,NA
31,2016,JUL,1.1,2016-07-31,NA,NA,0.031148531251199995
31,2016,AUG,1.5,2016-08-31,NA,NA,0.04247526988799999
31,2016,SEP,NA,NA,NA,NA,NA
1,2017,OCT,2,2017-10-01,NA,NA,0.05663369318399999
1,2017,NOV,NA,2017-11-01,NA,NA,NA
1,2017,DEC,NA,2017-12-01,NA,NA,NA
1,2017,JAN,0.82,2017-01-01,NA,NA,0.023219814205439993
1,2017,FEB,0.2,2017-02-01,NA,NA,0.0056633693184
1,2017,MAR,1.1,2017-03-01,NA,NA,0.031148531251199995
1,2017,APR,10,2017-04-01,NA,NA,0.2831684659199999
1,2017,MAY,6.1,2017-05-01,NA,NA,0.17273276421119993
1,2017,JUN,3,2017-06-01,NA,NA,0.08495053977599998
1,2017,JUL,1.3,2017-07-01,NA,NA,0.036811900569599994
1,2017,AUG,NA,2017-08-01,NA,NA,NA
1,2017,SEP,1.3,2017-09-01,NA,NA,0.036811900569599994
2,2017,OCT,2.1,2017-10-02,NA,NA,0.05946537784319999
2,2017,NOV,NA,2017-11-02,NA,NA,NA
2,2017,DEC,NA,2017-12-02,NA,NA,NA
2,2017,JAN,0.58,2017-01-02,NA,NA,0.016423771023359995
2,2017,FEB,0.15,2017-02-02,NA,NA,0.004247526988799999
2,2017,MAR,1.2,2017-03-02,NA,NA,0.03398021591039999
2,2017,APR,7.4,2017-04-02,NA,NA,0.20954466478079997
2,2017,MAY,5.2,2017-05-02,NA,NA,0.14724760227839997
2,2017,JUN,2.1,2017-06-02,NA,NA,0.05946537784319999
2,2017,JUL,1.2,2017-07-02,NA,NA,0.03398021591039999
2,2017,AUG,NA,2017-08-02,NA,NA,NA
2,2017,SEP,1.3,2017-09-02,NA,NA,0.036811900569599994
3,2017,OCT,1.5,2017-10-03,NA,NA,0.04247526988799999
3,2017,NOV,NA,2017-11-03,NA,NA,NA
3,2017,DEC,NA,2017-12-03,NA,NA,NA
3,2017,JAN,0.77,2017-01-03,NA,NA,0.021803971875839996
3,2017,FEB,0.13,2017-02-03,NA,NA,0.0036811900569599996
3,2017,MAR,0.98,2017-03-03,NA,NA,0.027750509660159992
3,2017,APR,9.3,2017-04-03,NA,NA,0.26334667330559997
3,2017,MAY,5.5,2017-05-03,NA,NA,0.15574265625599995
3,2017,JUN,2.3,2017-06-03,NA,NA,0.06512874716159997
3,2017,JUL,1.4,2017-07-03,NA,NA,0.03964358522879999
3,2017,AUG,1.2,2017-08-03,NA,NA,0.03398021591039999
